NODE		X	Y	Z
91810	0	0.00000E+00	0.00000E+00	5.00000E+02
91811	0	5.00000E+01	0.00000E+00	5.00000E+02
91812	0	1.00000E+02	0.00000E+00	5.00000E+02
91813	0	1.50000E+02	0.00000E+00	5.00000E+02
91814	0	2.00000E+02	0.00000E+00	5.00000E+02
91815	0	2.50000E+02	0.00000E+00	5.00000E+02
91816	0	3.00000E+02	0.00000E+00	5.00000E+02
91817	0	3.50000E+02	0.00000E+00	5.00000E+02
91818	0	4.00000E+02	0.00000E+00	5.00000E+02
91819	0	4.50000E+02	0.00000E+00	5.00000E+02
91820	0	5.00000E+02	0.00000E+00	5.00000E+02
91821	0	5.50000E+02	0.00000E+00	5.00000E+02
91822	0	6.00000E+02	0.00000E+00	5.00000E+02
91823	0	6.50000E+02	0.00000E+00	5.00000E+02
91824	0	7.00000E+02	0.00000E+00	5.00000E+02
91825	0	7.50000E+02	0.00000E+00	5.00000E+02
91826	0	8.00000E+02	0.00000E+00	5.00000E+02
91827	0	8.50000E+02	0.00000E+00	5.00000E+02
91828	0	9.00000E+02	0.00000E+00	5.00000E+02
91829	0	9.50000E+02	0.00000E+00	5.00000E+02
91830	0	1.00000E+03	0.00000E+00	5.00000E+02
91831	0	1.05000E+03	0.00000E+00	5.00000E+02
91832	0	1.10000E+03	0.00000E+00	5.00000E+02
91833	0	1.15000E+03	0.00000E+00	5.00000E+02
91834	0	1.20000E+03	0.00000E+00	5.00000E+02
91835	0	1.25000E+03	0.00000E+00	5.00000E+02
91836	0	1.30000E+03	0.00000E+00	5.00000E+02
91837	0	1.35000E+03	0.00000E+00	5.00000E+02
91838	0	1.40000E+03	0.00000E+00	5.00000E+02
91839	0	1.45000E+03	0.00000E+00	5.00000E+02
91840	0	1.50000E+03	0.00000E+00	5.00000E+02
91841	0	1.55000E+03	0.00000E+00	5.00000E+02
91842	0	1.60000E+03	0.00000E+00	5.00000E+02
91843	0	1.65000E+03	0.00000E+00	5.00000E+02
91844	0	1.70000E+03	0.00000E+00	5.00000E+02
91845	0	1.75000E+03	0.00000E+00	5.00000E+02
91846	0	1.80000E+03	0.00000E+00	5.00000E+02
91847	0	1.85000E+03	0.00000E+00	5.00000E+02
91848	0	1.90000E+03	0.00000E+00	5.00000E+02
91849	0	1.95000E+03	0.00000E+00	5.00000E+02
91850	0	2.00000E+03	0.00000E+00	5.00000E+02
91851	0	2.05000E+03	0.00000E+00	5.00000E+02
91852	0	2.10000E+03	0.00000E+00	5.00000E+02
91853	0	2.15000E+03	0.00000E+00	5.00000E+02
91854	0	2.20000E+03	0.00000E+00	5.00000E+02
91855	0	2.25000E+03	0.00000E+00	5.00000E+02
91856	0	2.30000E+03	0.00000E+00	5.00000E+02
91857	0	2.35000E+03	0.00000E+00	5.00000E+02
91858	0	2.40000E+03	0.00000E+00	5.00000E+02
91859	0	2.45000E+03	0.00000E+00	5.00000E+02
91860	0	2.50000E+03	0.00000E+00	5.00000E+02
91861	0	2.55000E+03	0.00000E+00	5.00000E+02
91862	0	2.60000E+03	0.00000E+00	5.00000E+02
91863	0	2.65000E+03	0.00000E+00	5.00000E+02
91864	0	2.70000E+03	0.00000E+00	5.00000E+02
91865	0	2.75000E+03	0.00000E+00	5.00000E+02
91866	0	2.80000E+03	0.00000E+00	5.00000E+02
91867	0	2.85000E+03	0.00000E+00	5.00000E+02
91868	0	2.90000E+03	0.00000E+00	5.00000E+02
91869	0	2.95000E+03	0.00000E+00	5.00000E+02
91870	0	3.00000E+03	0.00000E+00	5.00000E+02
91871	0	3.05000E+03	0.00000E+00	5.00000E+02
91872	0	3.10000E+03	0.00000E+00	5.00000E+02
91873	0	3.15000E+03	0.00000E+00	5.00000E+02
91874	0	3.20000E+03	0.00000E+00	5.00000E+02
91875	0	3.25000E+03	0.00000E+00	5.00000E+02
91876	0	3.30000E+03	0.00000E+00	5.00000E+02
91877	0	3.35000E+03	0.00000E+00	5.00000E+02
91878	0	3.40000E+03	0.00000E+00	5.00000E+02
91879	0	3.45000E+03	0.00000E+00	5.00000E+02
91880	0	3.50000E+03	0.00000E+00	5.00000E+02
91881	0	3.55000E+03	0.00000E+00	5.00000E+02
91882	0	3.60000E+03	0.00000E+00	5.00000E+02
91883	0	3.65000E+03	0.00000E+00	5.00000E+02
91884	0	3.70000E+03	0.00000E+00	5.00000E+02
91885	0	3.75000E+03	0.00000E+00	5.00000E+02
91886	0	3.80000E+03	0.00000E+00	5.00000E+02
91887	0	3.85000E+03	0.00000E+00	5.00000E+02
91888	0	3.90000E+03	0.00000E+00	5.00000E+02
91889	0	3.95000E+03	0.00000E+00	5.00000E+02
91890	0	4.00000E+03	0.00000E+00	5.00000E+02
91891	0	4.05000E+03	0.00000E+00	5.00000E+02
91892	0	4.10000E+03	0.00000E+00	5.00000E+02
91893	0	4.15000E+03	0.00000E+00	5.00000E+02
91894	0	4.20000E+03	0.00000E+00	5.00000E+02
91895	0	4.25000E+03	0.00000E+00	5.00000E+02
91896	0	4.30000E+03	0.00000E+00	5.00000E+02
91897	0	4.35000E+03	0.00000E+00	5.00000E+02
91898	0	4.40000E+03	0.00000E+00	5.00000E+02
91899	0	4.45000E+03	0.00000E+00	5.00000E+02
91900	0	4.50000E+03	0.00000E+00	5.00000E+02
91901	0	4.55000E+03	0.00000E+00	5.00000E+02
91902	0	4.60000E+03	0.00000E+00	5.00000E+02
91903	0	4.65000E+03	0.00000E+00	5.00000E+02
91904	0	4.70000E+03	0.00000E+00	5.00000E+02
91905	0	4.75000E+03	0.00000E+00	5.00000E+02
91906	0	4.80000E+03	0.00000E+00	5.00000E+02
91907	0	4.85000E+03	0.00000E+00	5.00000E+02
91908	0	4.90000E+03	0.00000E+00	5.00000E+02
91909	0	4.95000E+03	0.00000E+00	5.00000E+02
91910	0	5.00000E+03	0.00000E+00	5.00000E+02
91911	0	0.00000E+00	5.00000E+01	5.00000E+02
91912	0	5.00000E+01	5.00000E+01	5.00000E+02
91913	0	1.00000E+02	5.00000E+01	5.00000E+02
91914	0	1.50000E+02	5.00000E+01	5.00000E+02
91915	0	2.00000E+02	5.00000E+01	5.00000E+02
91916	0	2.50000E+02	5.00000E+01	5.00000E+02
91917	0	3.00000E+02	5.00000E+01	5.00000E+02
91918	0	3.50000E+02	5.00000E+01	5.00000E+02
91919	0	4.00000E+02	5.00000E+01	5.00000E+02
91920	0	4.50000E+02	5.00000E+01	5.00000E+02
91921	0	5.00000E+02	5.00000E+01	5.00000E+02
91922	0	5.50000E+02	5.00000E+01	5.00000E+02
91923	0	6.00000E+02	5.00000E+01	5.00000E+02
91924	0	6.50000E+02	5.00000E+01	5.00000E+02
91925	0	7.00000E+02	5.00000E+01	5.00000E+02
91926	0	7.50000E+02	5.00000E+01	5.00000E+02
91927	0	8.00000E+02	5.00000E+01	5.00000E+02
91928	0	8.50000E+02	5.00000E+01	5.00000E+02
91929	0	9.00000E+02	5.00000E+01	5.00000E+02
91930	0	9.50000E+02	5.00000E+01	5.00000E+02
91931	0	1.00000E+03	5.00000E+01	5.00000E+02
91932	0	1.05000E+03	5.00000E+01	5.00000E+02
91933	0	1.10000E+03	5.00000E+01	5.00000E+02
91934	0	1.15000E+03	5.00000E+01	5.00000E+02
91935	0	1.20000E+03	5.00000E+01	5.00000E+02
91936	0	1.25000E+03	5.00000E+01	5.00000E+02
91937	0	1.30000E+03	5.00000E+01	5.00000E+02
91938	0	1.35000E+03	5.00000E+01	5.00000E+02
91939	0	1.40000E+03	5.00000E+01	5.00000E+02
91940	0	1.45000E+03	5.00000E+01	5.00000E+02
91941	0	1.50000E+03	5.00000E+01	5.00000E+02
91942	0	1.55000E+03	5.00000E+01	5.00000E+02
91943	0	1.60000E+03	5.00000E+01	5.00000E+02
91944	0	1.65000E+03	5.00000E+01	5.00000E+02
91945	0	1.70000E+03	5.00000E+01	5.00000E+02
91946	0	1.75000E+03	5.00000E+01	5.00000E+02
91947	0	1.80000E+03	5.00000E+01	5.00000E+02
91948	0	1.85000E+03	5.00000E+01	5.00000E+02
91949	0	1.90000E+03	5.00000E+01	5.00000E+02
91950	0	1.95000E+03	5.00000E+01	5.00000E+02
91951	0	2.00000E+03	5.00000E+01	5.00000E+02
91952	0	2.05000E+03	5.00000E+01	5.00000E+02
91953	0	2.10000E+03	5.00000E+01	5.00000E+02
91954	0	2.15000E+03	5.00000E+01	5.00000E+02
91955	0	2.20000E+03	5.00000E+01	5.00000E+02
91956	0	2.25000E+03	5.00000E+01	5.00000E+02
91957	0	2.30000E+03	5.00000E+01	5.00000E+02
91958	0	2.35000E+03	5.00000E+01	5.00000E+02
91959	0	2.40000E+03	5.00000E+01	5.00000E+02
91960	0	2.45000E+03	5.00000E+01	5.00000E+02
91961	0	2.50000E+03	5.00000E+01	5.00000E+02
91962	0	2.55000E+03	5.00000E+01	5.00000E+02
91963	0	2.60000E+03	5.00000E+01	5.00000E+02
91964	0	2.65000E+03	5.00000E+01	5.00000E+02
91965	0	2.70000E+03	5.00000E+01	5.00000E+02
91966	0	2.75000E+03	5.00000E+01	5.00000E+02
91967	0	2.80000E+03	5.00000E+01	5.00000E+02
91968	0	2.85000E+03	5.00000E+01	5.00000E+02
91969	0	2.90000E+03	5.00000E+01	5.00000E+02
91970	0	2.95000E+03	5.00000E+01	5.00000E+02
91971	0	3.00000E+03	5.00000E+01	5.00000E+02
91972	0	3.05000E+03	5.00000E+01	5.00000E+02
91973	0	3.10000E+03	5.00000E+01	5.00000E+02
91974	0	3.15000E+03	5.00000E+01	5.00000E+02
91975	0	3.20000E+03	5.00000E+01	5.00000E+02
91976	0	3.25000E+03	5.00000E+01	5.00000E+02
91977	0	3.30000E+03	5.00000E+01	5.00000E+02
91978	0	3.35000E+03	5.00000E+01	5.00000E+02
91979	0	3.40000E+03	5.00000E+01	5.00000E+02
91980	0	3.45000E+03	5.00000E+01	5.00000E+02
91981	0	3.50000E+03	5.00000E+01	5.00000E+02
91982	0	3.55000E+03	5.00000E+01	5.00000E+02
91983	0	3.60000E+03	5.00000E+01	5.00000E+02
91984	0	3.65000E+03	5.00000E+01	5.00000E+02
91985	0	3.70000E+03	5.00000E+01	5.00000E+02
91986	0	3.75000E+03	5.00000E+01	5.00000E+02
91987	0	3.80000E+03	5.00000E+01	5.00000E+02
91988	0	3.85000E+03	5.00000E+01	5.00000E+02
91989	0	3.90000E+03	5.00000E+01	5.00000E+02
91990	0	3.95000E+03	5.00000E+01	5.00000E+02
91991	0	4.00000E+03	5.00000E+01	5.00000E+02
91992	0	4.05000E+03	5.00000E+01	5.00000E+02
91993	0	4.10000E+03	5.00000E+01	5.00000E+02
91994	0	4.15000E+03	5.00000E+01	5.00000E+02
91995	0	4.20000E+03	5.00000E+01	5.00000E+02
91996	0	4.25000E+03	5.00000E+01	5.00000E+02
91997	0	4.30000E+03	5.00000E+01	5.00000E+02
91998	0	4.35000E+03	5.00000E+01	5.00000E+02
91999	0	4.40000E+03	5.00000E+01	5.00000E+02
92000	0	4.45000E+03	5.00000E+01	5.00000E+02
92001	0	4.50000E+03	5.00000E+01	5.00000E+02
92002	0	4.55000E+03	5.00000E+01	5.00000E+02
92003	0	4.60000E+03	5.00000E+01	5.00000E+02
92004	0	4.65000E+03	5.00000E+01	5.00000E+02
92005	0	4.70000E+03	5.00000E+01	5.00000E+02
92006	0	4.75000E+03	5.00000E+01	5.00000E+02
92007	0	4.80000E+03	5.00000E+01	5.00000E+02
92008	0	4.85000E+03	5.00000E+01	5.00000E+02
92009	0	4.90000E+03	5.00000E+01	5.00000E+02
92010	0	4.95000E+03	5.00000E+01	5.00000E+02
92011	0	5.00000E+03	5.00000E+01	5.00000E+02
92012	0	0.00000E+00	1.00000E+02	5.00000E+02
92013	0	5.00000E+01	1.00000E+02	5.00000E+02
92014	0	1.00000E+02	1.00000E+02	5.00000E+02
92015	0	1.50000E+02	1.00000E+02	5.00000E+02
92016	0	2.00000E+02	1.00000E+02	5.00000E+02
92017	0	2.50000E+02	1.00000E+02	5.00000E+02
92018	0	3.00000E+02	1.00000E+02	5.00000E+02
92019	0	3.50000E+02	1.00000E+02	5.00000E+02
92020	0	4.00000E+02	1.00000E+02	5.00000E+02
92021	0	4.50000E+02	1.00000E+02	5.00000E+02
92022	0	5.00000E+02	1.00000E+02	5.00000E+02
92023	0	5.50000E+02	1.00000E+02	5.00000E+02
92024	0	6.00000E+02	1.00000E+02	5.00000E+02
92025	0	6.50000E+02	1.00000E+02	5.00000E+02
92026	0	7.00000E+02	1.00000E+02	5.00000E+02
92027	0	7.50000E+02	1.00000E+02	5.00000E+02
92028	0	8.00000E+02	1.00000E+02	5.00000E+02
92029	0	8.50000E+02	1.00000E+02	5.00000E+02
92030	0	9.00000E+02	1.00000E+02	5.00000E+02
92031	0	9.50000E+02	1.00000E+02	5.00000E+02
92032	0	1.00000E+03	1.00000E+02	5.00000E+02
92033	0	1.05000E+03	1.00000E+02	5.00000E+02
92034	0	1.10000E+03	1.00000E+02	5.00000E+02
92035	0	1.15000E+03	1.00000E+02	5.00000E+02
92036	0	1.20000E+03	1.00000E+02	5.00000E+02
92037	0	1.25000E+03	1.00000E+02	5.00000E+02
92038	0	1.30000E+03	1.00000E+02	5.00000E+02
92039	0	1.35000E+03	1.00000E+02	5.00000E+02
92040	0	1.40000E+03	1.00000E+02	5.00000E+02
92041	0	1.45000E+03	1.00000E+02	5.00000E+02
92042	0	1.50000E+03	1.00000E+02	5.00000E+02
92043	0	1.55000E+03	1.00000E+02	5.00000E+02
92044	0	1.60000E+03	1.00000E+02	5.00000E+02
92045	0	1.65000E+03	1.00000E+02	5.00000E+02
92046	0	1.70000E+03	1.00000E+02	5.00000E+02
92047	0	1.75000E+03	1.00000E+02	5.00000E+02
92048	0	1.80000E+03	1.00000E+02	5.00000E+02
92049	0	1.85000E+03	1.00000E+02	5.00000E+02
92050	0	1.90000E+03	1.00000E+02	5.00000E+02
92051	0	1.95000E+03	1.00000E+02	5.00000E+02
92052	0	2.00000E+03	1.00000E+02	5.00000E+02
92053	0	2.05000E+03	1.00000E+02	5.00000E+02
92054	0	2.10000E+03	1.00000E+02	5.00000E+02
92055	0	2.15000E+03	1.00000E+02	5.00000E+02
92056	0	2.20000E+03	1.00000E+02	5.00000E+02
92057	0	2.25000E+03	1.00000E+02	5.00000E+02
92058	0	2.30000E+03	1.00000E+02	5.00000E+02
92059	0	2.35000E+03	1.00000E+02	5.00000E+02
92060	0	2.40000E+03	1.00000E+02	5.00000E+02
92061	0	2.45000E+03	1.00000E+02	5.00000E+02
92062	0	2.50000E+03	1.00000E+02	5.00000E+02
92063	0	2.55000E+03	1.00000E+02	5.00000E+02
92064	0	2.60000E+03	1.00000E+02	5.00000E+02
92065	0	2.65000E+03	1.00000E+02	5.00000E+02
92066	0	2.70000E+03	1.00000E+02	5.00000E+02
92067	0	2.75000E+03	1.00000E+02	5.00000E+02
92068	0	2.80000E+03	1.00000E+02	5.00000E+02
92069	0	2.85000E+03	1.00000E+02	5.00000E+02
92070	0	2.90000E+03	1.00000E+02	5.00000E+02
92071	0	2.95000E+03	1.00000E+02	5.00000E+02
92072	0	3.00000E+03	1.00000E+02	5.00000E+02
92073	0	3.05000E+03	1.00000E+02	5.00000E+02
