NODE	TEMP
91810	25
91811	25
91812	25
91813	25
91814	25
91815	25
91816	25
91817	25
91818	25
91819	25
91820	25
91821	25
91822	25
91823	25
91824	25
91825	25
91826	25
91827	25
91828	25
91829	25
91830	25
91831	25
91832	25
91833	25
91834	25
91835	25
91836	25
91837	25
91838	25
91839	25
91840	25
91841	25
91842	25
91843	25
91844	25
91845	25
91846	25
91847	25
91848	25
91849	25
91850	25
91851	25
91852	25
91853	25
91854	25
91855	25
91856	25
91857	25,1
91858	25,1
91859	25,1
91860	25,1
91861	25,1
91862	25,1
91863	25,1
91864	25,1
91865	25,1
91866	25,1
91867	25,1
91868	25,1
91869	25,1
91870	25,1
91871	25,1
91872	25,1
91873	25,1
91874	25,1
91875	25,2
91876	25,2
91877	25,2
91878	25,1
91879	25,1
91880	25,1
91881	25,1
91882	25,1
91883	25,1
91884	25,1
91885	25,1
91886	25,1
91887	25,1
91888	25,1
91889	25,1
91890	25,1
91891	25,1
91892	25,1
91893	25,1
91894	25,1
91895	25
91896	25
91897	25
91898	25
91899	25
91900	25
91901	25
91902	25
91903	25
91904	25
91905	25
91906	25
91907	25
91908	25
91909	25
91910	25
91911	25
91912	25
91913	25
91914	25
91915	25
91916	25
91917	25
91918	25
91919	25
91920	25
91921	25
91922	25
91923	25
91924	25
91925	25
91926	25
91927	25
91928	25
91929	25
91930	25
91931	25
91932	25
91933	25
91934	25
91935	25
91936	25
91937	25
91938	25
91939	25
91940	25
91941	25
91942	25
91943	25
91944	25
91945	25
91946	25
91947	25
91948	25
91949	25
91950	25
91951	25
91952	25
91953	25
91954	25
91955	25
91956	25
91957	25
91958	25,1
91959	25,1
91960	25,1
91961	25,1
91962	25,1
91963	25,1
91964	25,1
91965	25,1
91966	25,1
91967	25,1
91968	25,1
91969	25,1
91970	25,1
91971	25,1
91972	25,1
91973	25,1
91974	25,1
91975	25,2
91976	25,2
91977	25,2
91978	25,2
91979	25,2
91980	25,2
91981	25,1
91982	25,1
91983	25,1
91984	25,1
91985	25,1
91986	25,1
91987	25,1
91988	25,1
91989	25,1
91990	25,1
91991	25,1
91992	25,1
91993	25,1
91994	25,1
91995	25,1
91996	25,1
91997	25
91998	25
91999	25
92000	25
92001	25
92002	25
92003	25
92004	25
92005	25
92006	25
92007	25
92008	25
92009	25
92010	25
92011	25
92012	25
92013	25
92014	25
92015	25
92016	25
92017	25
92018	25
92019	25
92020	25
92021	25
92022	25
92023	25
92024	25
92025	25
92026	25
92027	25
92028	25
92029	25
92030	25
92031	25
92032	25
92033	25
92034	25
92035	25
92036	25
92037	25
92038	25
92039	25
92040	25
92041	25
92042	25
92043	25
92044	25
92045	25
92046	25
92047	25
92048	25
92049	25
92050	25
92051	25
92052	25
92053	25
92054	25
92055	25
92056	25
92057	25
92058	25
92059	25,1
92060	25,1
92061	25,1
92062	25,1
92063	25,1
92064	25,1
92065	25,1
92066	25,1
92067	25,1
92068	25,1
92069	25,1
92070	25,1
92071	25,1
92072	25,1
92073	25,1
92074	25,2
92075	25,2
92076	25,2
92077	25,2
92078	25,2
92079	25,2
92080	25,2
92081	25,2
92082	25,2
92083	25,2
92084	25,1
92085	25,1
92086	25,1
92087	25,1
92088	25,1
92089	25,1
92090	25,1
92091	25,1
92092	25,1
92093	25,1
92094	25,1
92095	25,1
92096	25,1
92097	25,1
92098	25
92099	25
92100	25
92101	25
92102	25
92103	25
92104	25
92105	25
92106	25
92107	25
92108	25
92109	25
92110	25
92111	25
92112	25
92113	25
92114	25
92115	25
92116	25
92117	25
92118	25
92119	25
92120	25
92121	25
92122	25
92123	25
92124	25
92125	25
92126	25
92127	25
92128	25
92129	25
92130	25
92131	25,1
92132	25,1
92133	25,1
92134	25,1
92135	25,1
92136	25,1
92137	25,1
92138	25,1
92139	25,1
92140	25,1
92141	25,1
92142	25,1
92143	25
92144	25
92145	25
92146	25
92147	25
92148	25
92149	25
92150	25
92151	25
92152	25
92153	25
92154	25
92155	25
92156	25
92157	25
92158	25
92159	25,1
92160	25,1
92161	25,1
92162	25,1
92163	25,1
92164	25,1
92165	25,1
92166	25,1
